[16:18:26] [main.cpp:80] [INFO]:  Beginning initialization of 'Assignment 3: They said WHAT?!'
[16:18:27] [main.cpp:86] [INFO]:  Window successfully created!
[16:18:27] [main.cpp:94] [INFO]:  Loaded OpenGL (GLAD) 4.6
[16:18:27] [main.cpp:122] [INFO]:  Callbacks installed!
[16:18:27] [main.cpp:29] [TRACE]: Window Resized (width: 800, height: 800)!
[16:18:27] [main.cpp:133] [INFO]:  GL setup complete!
[16:18:27] [main.cpp:142] [INFO]:  Resource initialization complete!
[16:18:27] [main.cpp:29] [TRACE]: Window Resized (width: 1916, height: 1037)!
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.400000
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 252031126089.871460
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 0.526612
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 0.792578
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 0.758925
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 1.140338
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 1.648119
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.115632
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.586813
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.532729
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.453160
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.502504
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.527364
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.513913
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.322283
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.503115
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.470172
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.498344
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.553576
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.572943
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.507446
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.446819
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.474876
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 3.920583
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.166573
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.624340
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.159838
[16:18:27] [render.h:188] [TRACE]: Particles Spawning: 2.920940
